Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,2.00034960999994,-0.396724879741669,-0.199124879741669,0,0,0,0,0.568747878074646
1,1,Open Circuit Potential,4.00054775000001,-0.396387279033661,-0.198787279033661,0,0,0,0,0.569107294082642
1,1,Open Circuit Potential,6.00074805999998,-0.395851224660873,-0.198251224660873,0,0,0,0,0.569640576839447
1,1,Open Circuit Potential,8.00094851999995,-0.395752966403961,-0.198152966403961,0,0,0,0,0.569716095924377
1,1,Open Circuit Potential,10.00114592,-0.395979344844818,-0.198379344844818,0,0,0,0,0.56947648525238
1,1,Open Circuit Potential,12.00134823,-0.396115064620972,-0.198515064620972,0,0,0,0,0.569308519363403
1,1,Open Circuit Potential,14.00155146,-0.396358370780945,-0.198758370780945,0,0,0,0,0.569046080112457
1,1,Open Circuit Potential,16.0017500299999,-0.395642161369324,-0.198042161369324,0,0,0,0,0.569759130477905
1,1,Open Circuit Potential,18.00195128,-0.39569079875946,-0.19809079875946,0,0,0,0,0.569733142852783
1,1,Open Circuit Potential,20.00214908,-0.395271986722946,-0.197671986722946,0,0,0,0,0.570135831832886
1,1,Open Circuit Potential,22.00234905,-0.395054399967194,-0.197454399967194,0,0,0,0,0.570370733737946
1,1,Open Circuit Potential,24.0025497399999,-0.394550204277039,-0.196950204277039,0,0,0,0,0.570855915546417
1,1,Open Circuit Potential,26.00274928,-0.398268103599548,-0.200668103599548,0,0,0,0,0.567044734954834
1,1,Open Circuit Potential,28.0029459699999,-0.398630797863007,-0.201030797863007,0,0,0,0,0.566628158092499
1,1,Open Circuit Potential,30.00315144,-0.39879634976387,-0.20119634976387,0,0,0,0,0.566517293453217
1,1,Open Circuit Potential,32.00334906,-0.398452818393707,-0.200852818393707,0,0,0,0,0.566862404346466
1,1,Open Circuit Potential,34.0035471899999,-0.397334098815918,-0.199734098815918,0,0,0,0,0.568010628223419
1,1,Open Circuit Potential,36.0037495399999,-0.396512389183044,-0.198912389183044,0,0,0,0,0.568845748901367
1,1,Open Circuit Potential,38.00394765,-0.394941627979279,-0.197341627979279,0,0,0,0,0.570476412773132
1,1,Open Circuit Potential,40.0041461899999,-0.394784510135651,-0.197184510135651,0,0,0,0,0.570671916007996
1,1,Open Circuit Potential,42.0043478,-0.395278096199036,-0.197678096199036,0,0,0,0,0.570199549198151
1,1,Open Circuit Potential,44.00454781,-0.394625604152679,-0.197025604152679,0,0,0,0,0.57097715139389
1,1,Open Circuit Potential,46.00475033,-0.395420700311661,-0.197820700311661,0,0,0,0,0.570179522037506
1,1,Open Circuit Potential,48.0049488999999,-0.395848333835602,-0.198248333835602,0,0,0,0,0.569780826568604
