Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,0.50006889999986,-0.456859409809113,-0.251859409809113,0,0,0,0,-0.105591118335724
1,1,Open Circuit Potential,1.00011769999992,-0.456804841756821,-0.251804841756821,0,0,0,0,-0.105582177639008
1,1,Open Circuit Potential,1.50016876000018,-0.456769376993179,-0.251769376993179,0,0,0,0,-0.105550616979599
1,1,Open Circuit Potential,2.00021997000022,-0.456744849681854,-0.251744849681854,0,0,0,0,-0.10558220744133
1,1,Open Circuit Potential,2.50026832999993,-0.456700533628464,-0.251700533628464,0,0,0,0,-0.105570495128632
1,1,Open Circuit Potential,3.00031978000015,-0.456693559885025,-0.251693559885025,0,0,0,0,-0.105526864528656
1,1,Open Circuit Potential,3.50036835999981,-0.456674098968506,-0.251674098968506,0,0,0,0,-0.105540603399277
1,1,Open Circuit Potential,4.00041972000008,-0.45664256811142,-0.25164256811142,0,0,0,0,-0.105524510145187
1,1,Open Circuit Potential,4.50046814000007,-0.456626534461975,-0.251626534461975,0,0,0,0,-0.105509757995605
1,1,Open Circuit Potential,5.00051956000016,-0.456596106290817,-0.251596106290817,0,0,0,0,-0.105506926774979
1,1,Open Circuit Potential,5.50056806000021,-0.456559807062149,-0.251559807062149,0,0,0,0,-0.105494797229767
1,1,Open Circuit Potential,6.00061925,-0.456537634134293,-0.251537634134293,0,0,0,0,-0.105492681264877
1,1,Open Circuit Potential,6.50066758999992,-0.456505060195923,-0.251505060195923,0,0,0,0,-0.105484813451767
1,1,Open Circuit Potential,7.00071888000002,-0.456457197666168,-0.251457197666168,0,0,0,0,-0.105474829673767
1,1,Open Circuit Potential,7.50076767000019,-0.456409275531769,-0.251409275531769,0,0,0,0,-0.105449825525284
1,1,Open Circuit Potential,8.00081901000021,-0.456393450498581,-0.251393450498581,0,0,0,0,-0.105480372905731
1,1,Open Circuit Potential,8.5008676299999,-0.456385523080826,-0.251385523080826,0,0,0,0,-0.105447232723236
1,1,Open Circuit Potential,9.00091890000022,-0.456328749656677,-0.251328749656677,0,0,0,0,-0.105437994003296
1,1,Open Circuit Potential,9.50096729000006,-0.45630744099617,-0.25130744099617,0,0,0,0,-0.105423927307129
1,1,Open Circuit Potential,10.0010183499999,-0.45629358291626,-0.25129358291626,0,0,0,0,-0.10541170835495
1,1,Open Circuit Potential,10.5010698699998,-0.456280142068863,-0.251280142068863,0,0,0,0,-0.105416923761368
1,1,Open Circuit Potential,11.00111857,-0.456249296665192,-0.251249296665192,0,0,0,0,-0.105401396751404
1,1,Open Circuit Potential,11.5011694499999,-0.456231325864792,-0.251231325864792,0,0,0,0,-0.10541969537735
1,1,Open Circuit Potential,12.00121825,-0.45620921254158,-0.25120921254158,0,0,0,0,-0.105422228574753
1,1,Open Circuit Potential,12.5012697100001,-0.456201195716858,-0.251201195716858,0,0,0,0,-0.105410605669022
1,1,Open Circuit Potential,13.00131827,-0.456180363893509,-0.251180363893509,0,0,0,0,-0.105422228574753
1,1,Open Circuit Potential,13.5013693199999,-0.456140130758286,-0.251140130758286,0,0,0,0,-0.105407565832138
1,1,Open Circuit Potential,14.00141803,-0.456108123064041,-0.251108123064041,0,0,0,0,-0.105361551046371
1,1,Open Circuit Potential,14.50146898,-0.456072866916656,-0.251072866916657,0,0,0,0,-0.10537001490593
1,1,Open Circuit Potential,15.0015178499998,-0.456037878990173,-0.251037878990173,0,0,0,0,-0.105354279279709
1,1,Open Circuit Potential,15.50156909,-0.456019401550293,-0.251019401550293,0,0,0,0,-0.105337768793106
1,1,Open Circuit Potential,16.0016176499998,-0.455977320671082,-0.250977320671082,0,0,0,0,-0.105326414108276
1,1,Open Circuit Potential,16.5016687500001,-0.455937534570694,-0.250937534570694,0,0,0,0,-0.105335295200348
1,1,Open Circuit Potential,17.0017174,-0.45591527223587,-0.25091527223587,0,0,0,0,-0.105318784713745
1,1,Open Circuit Potential,17.50176878,-0.455896556377411,-0.250896556377411,0,0,0,0,-0.105325222015381
1,1,Open Circuit Potential,18.0018199000001,-0.455869346857071,-0.250869346857071,0,0,0,0,-0.105318456888199
1,1,Open Circuit Potential,18.5018682700002,-0.455834746360779,-0.250834746360779,0,0,0,0,-0.105351746082306
1,1,Open Circuit Potential,19.0019195700002,-0.455819100141525,-0.250819100141525,0,0,0,0,-0.105329394340515
1,1,Open Circuit Potential,19.5019683199998,-0.455799221992493,-0.250799221992493,0,0,0,0,-0.10533595085144
1,1,Open Circuit Potential,20.0020196099999,-0.455744028091431,-0.250744028091431,0,0,0,0,-0.105345159769058
1,1,Open Circuit Potential,20.5020705299999,-0.4557004570961,-0.2507004570961,0,0,0,0,-0.105337977409363
1,1,Open Circuit Potential,21.0021191599999,-0.455658137798309,-0.250658137798309,0,0,0,0,-0.105315297842026
1,1,Open Circuit Potential,21.5021680899999,-0.455650448799133,-0.250650448799133,0,0,0,0,-0.105299532413483
1,1,Open Circuit Potential,22.00221913,-0.455620110034943,-0.250620110034943,0,0,0,0,-0.105266094207764
1,1,Open Circuit Potential,22.5022677699999,-0.455582916736603,-0.250582916736603,0,0,0,0,-0.105236798524857
1,1,Open Circuit Potential,23.0023193400002,-0.45554780960083,-0.25054780960083,0,0,0,0,-0.105258375406265
1,1,Open Circuit Potential,23.5023675299999,-0.455533981323242,-0.250533981323242,0,0,0,0,-0.10523909330368
1,1,Open Circuit Potential,24.0024189700002,-0.455508530139923,-0.250508530139923,0,0,0,0,-0.105242967605591
1,1,Open Circuit Potential,24.5024676200001,-0.455484449863434,-0.250484449863434,0,0,0,0,-0.105239927768707
1,1,Open Circuit Potential,25.0025185600002,-0.455463349819183,-0.250463349819183,0,0,0,0,-0.105228155851364
1,1,Open Circuit Potential,25.5025671899998,-0.455455780029297,-0.250455780029297,0,0,0,0,-0.105227738618851
1,1,Open Circuit Potential,26.0026183599998,-0.455431461334229,-0.250431461334229,0,0,0,0,-0.105246782302856
1,1,Open Circuit Potential,26.5026699999999,-0.455408811569214,-0.250408811569214,0,0,0,0,-0.105237871408463
1,1,Open Circuit Potential,27.0027185600002,-0.455366581678391,-0.250366581678391,0,0,0,0,-0.105265557765961
1,1,Open Circuit Potential,27.5027697,-0.455315589904785,-0.250315589904785,0,0,0,0,-0.105237275362015
1,1,Open Circuit Potential,28.0028183499999,-0.455258309841156,-0.250258309841156,0,0,0,0,-0.105204463005066
1,1,Open Circuit Potential,28.5028695300002,-0.455247700214386,-0.250247700214386,0,0,0,0,-0.105203896760941
1,1,Open Circuit Potential,29.0029182500002,-0.455226540565491,-0.250226540565491,0,0,0,0,-0.105175822973251
1,1,Open Circuit Potential,29.5029690400002,-0.455190718173981,-0.250190718173981,0,0,0,0,-0.105155229568481
1,1,Open Circuit Potential,30.0030179300002,-0.455166101455688,-0.250166101455689,0,0,0,0,-0.105183094739914
1,1,Open Circuit Potential,30.5030690499998,-0.455139815807343,-0.250139815807343,0,0,0,0,-0.105170577764511
1,1,Open Circuit Potential,31.0031177800001,-0.455130636692047,-0.250130636692047,0,0,0,0,-0.105173349380493
1,1,Open Circuit Potential,31.5031691700001,-0.455108940601349,-0.250108940601349,0,0,0,0,-0.105177044868469
1,1,Open Circuit Potential,32.0032176999998,-0.455080896615982,-0.250080896615982,0,0,0,0,-0.105168789625168
1,1,Open Circuit Potential,32.5032686300001,-0.455040454864502,-0.250040454864502,0,0,0,0,-0.105185747146606
1,1,Open Circuit Potential,33.0033175399999,-0.455001056194305,-0.250001056194305,0,0,0,0,-0.105210155248642
1,1,Open Circuit Potential,33.5033686299998,-0.454984873533249,-0.249984873533249,0,0,0,0,-0.105208098888397
1,1,Open Circuit Potential,34.0034196400002,-0.454929798841476,-0.249929798841476,0,0,0,0,-0.105204463005066
1,1,Open Circuit Potential,34.5034686099998,-0.4549201130867,-0.2499201130867,0,0,0,0,-0.105195105075836
1,1,Open Circuit Potential,35.0035197699999,-0.454864680767059,-0.249864680767059,0,0,0,0,-0.105214416980743
1,1,Open Circuit Potential,35.5035685100002,-0.454827159643173,-0.249827159643173,0,0,0,0,-0.105193316936493
1,1,Open Circuit Potential,36.0036194099998,-0.454811304807663,-0.249811304807663,0,0,0,0,-0.105187892913818
1,1,Open Circuit Potential,36.5036679499999,-0.45479553937912,-0.24979553937912,0,0,0,0,-0.105179011821747
1,1,Open Circuit Potential,37.0037194699999,-0.454775750637054,-0.249775750637054,0,0,0,0,-0.105173408985138
1,1,Open Circuit Potential,37.5037682299999,-0.454754382371902,-0.249754382371902,0,0,0,0,-0.105184257030487
1,1,Open Circuit Potential,38.0038192100001,-0.454734861850739,-0.249734861850739,0,0,0,0,-0.105187326669693
1,1,Open Circuit Potential,38.5038677900002,-0.454697847366333,-0.249697847366333,0,0,0,0,-0.105209231376648
1,1,Open Circuit Potential,39.0039191700002,-0.454683810472488,-0.249683810472488,0,0,0,0,-0.105223000049591
