Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,0.500086389999979,-0.413711160421371,-0.208711160421371,0,0,0,0,-0.106597773730755
1,1,Open Circuit Potential,1.00013540000009,-0.413681507110596,-0.208681507110596,0,0,0,0,-0.106591634452343
1,1,Open Circuit Potential,1.50018653000006,-0.413662075996399,-0.208662075996399,0,0,0,0,-0.1065818592906
1,1,Open Circuit Potential,2.00023509999983,-0.413638085126877,-0.208638085126877,0,0,0,0,-0.106582872569561
1,1,Open Circuit Potential,2.50028659999998,-0.413608074188232,-0.208608074188232,0,0,0,0,-0.106560699641705
1,1,Open Circuit Potential,3.00033468999982,-0.413598299026489,-0.208598299026489,0,0,0,0,-0.106551788747311
1,1,Open Circuit Potential,3.50038708000011,-0.413573294878006,-0.208573294878006,0,0,0,0,-0.106563113629818
1,1,Open Circuit Potential,4.0004345100001,-0.413581341505051,-0.208581341505051,0,0,0,0,-0.106557093560696
1,1,Open Circuit Potential,4.50048599000002,-0.413542091846466,-0.208542091846466,0,0,0,0,-0.106554619967937
1,1,Open Circuit Potential,5.00053474000015,-0.41350844502449,-0.20850844502449,0,0,0,0,-0.106574051082134
1,1,Open Circuit Potential,5.50058545000002,-0.4134721159935,-0.2084721159935,0,0,0,0,-0.106608293950558
1,1,Open Circuit Potential,6.00063449000027,-0.413433969020844,-0.208433969020844,0,0,0,0,-0.106614790856838
1,1,Open Circuit Potential,6.50068572000009,-0.413387149572372,-0.208387149572372,0,0,0,0,-0.106603227555752
1,1,Open Circuit Potential,7.0007368900001,-0.413357734680176,-0.208357734680176,0,0,0,0,-0.10660108178854
1,1,Open Circuit Potential,7.50078532999987,-0.413345336914063,-0.208345336914063,0,0,0,0,-0.106588505208492
1,1,Open Circuit Potential,8.00083828000015,-0.413315832614899,-0.208315832614899,0,0,0,0,-0.106596074998379
1,1,Open Circuit Potential,8.50088511000013,-0.413300603628159,-0.208300603628159,0,0,0,0,-0.106566332280636
1,1,Open Circuit Potential,9.00093642000002,-0.413293272256851,-0.208293272256851,0,0,0,0,-0.10657449811697
1,1,Open Circuit Potential,9.50098543000013,-0.413278877735138,-0.208278877735138,0,0,0,0,-0.10657062381506
1,1,Open Circuit Potential,10.0010362799999,-0.413270264863968,-0.208270264863968,0,0,0,0,-0.106565199792385
1,1,Open Circuit Potential,10.5010848800002,-0.413251876831055,-0.208251876831055,0,0,0,0,-0.106549941003323
1,1,Open Circuit Potential,11.0011360399999,-0.413228064775467,-0.208228064775467,0,0,0,0,-0.106544367969036
1,1,Open Circuit Potential,11.5011845700001,-0.413197487592697,-0.208197487592697,0,0,0,0,-0.106545619666576
1,1,Open Circuit Potential,12.0012359500001,-0.413171321153641,-0.208171321153641,0,0,0,0,-0.106523953378201
1,1,Open Circuit Potential,12.5012843700001,-0.413143783807755,-0.208143783807755,0,0,0,0,-0.106529854238033
1,1,Open Circuit Potential,13.0013358199999,-0.413105905056,-0.208105905056,0,0,0,0,-0.106530360877514
1,1,Open Circuit Potential,13.5013853,-0.413054436445236,-0.208054436445236,0,0,0,0,-0.106565468013287
1,1,Open Circuit Potential,14.0014356299998,-0.413056612014771,-0.208056612014771,0,0,0,0,-0.106567554175854
1,1,Open Circuit Potential,14.50148403,-0.413031071424484,-0.208031071424484,0,0,0,0,-0.106583707034588
1,1,Open Circuit Potential,15.0015354500001,-0.412993878126144,-0.207993878126144,0,0,0,0,-0.106561861932278
1,1,Open Circuit Potential,15.5015864800002,-0.412962287664413,-0.207962287664413,0,0,0,0,-0.106580518186092
1,1,Open Circuit Potential,16.00163505,-0.412951618432999,-0.207951618432999,0,0,0,0,-0.106557749211788
1,1,Open Circuit Potential,16.5016866599999,-0.41293540596962,-0.20793540596962,0,0,0,0,-0.106538824737072
1,1,Open Circuit Potential,17.0017349600002,-0.412911623716354,-0.207911623716354,0,0,0,0,-0.106531135737896
1,1,Open Circuit Potential,17.5017864000001,-0.412900120019913,-0.207900120019913,0,0,0,0,-0.106508307158947
1,1,Open Circuit Potential,18.0018353099999,-0.412879794836044,-0.207879794836044,0,0,0,0,-0.106495074927807
1,1,Open Circuit Potential,18.5018863300002,-0.412839531898499,-0.207839531898499,0,0,0,0,-0.106465391814709
1,1,Open Circuit Potential,19.0019348599999,-0.412812381982803,-0.207812381982803,0,0,0,0,-0.106444083154202
1,1,Open Circuit Potential,19.50198615,-0.412781000137329,-0.207781000137329,0,0,0,0,-0.106452636420727
1,1,Open Circuit Potential,20.0020348100002,-0.412746042013168,-0.207746042013168,0,0,0,0,-0.10645516961813
1,1,Open Circuit Potential,20.5020858900002,-0.412709414958954,-0.207709414958954,0,0,0,0,-0.106457941234112
1,1,Open Circuit Potential,21.0021345499999,-0.412690579891205,-0.207690579891205,0,0,0,0,-0.10648088902235
1,1,Open Circuit Potential,21.5021858800001,-0.412649184465408,-0.207649184465408,0,0,0,0,-0.10647114366293
