Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,0.500097099999948,-0.274223238229752,-0.0692232382297516,0,0,0,0,-0.0874990001320839
1,1,Open Circuit Potential,1.00014857000042,-0.274238258600235,-0.069238258600235,0,0,0,0,-0.0874801501631737
1,1,Open Circuit Potential,1.50019717000032,-0.274246066808701,-0.0692460668087006,0,0,0,0,-0.0874736085534096
1,1,Open Circuit Potential,2.00024837000001,-0.274262756109238,-0.0692627561092377,0,0,0,0,-0.0874536111950874
1,1,Open Circuit Potential,2.50029702000029,-0.274278402328491,-0.0692784023284912,0,0,0,0,-0.0874493643641472
1,1,Open Circuit Potential,3.00034847000006,-0.274291306734085,-0.0692913067340851,0,0,0,0,-0.0874310210347176
1,1,Open Circuit Potential,3.50039700999969,-0.274298518896103,-0.0692985188961029,0,0,0,0,-0.087432824075222
1,1,Open Circuit Potential,4.00044827999955,-0.274315059185028,-0.0693150591850281,0,0,0,0,-0.0874551013112068
1,1,Open Circuit Potential,4.50049649999983,-0.274317502975464,-0.0693175029754639,0,0,0,0,-0.0874387696385384
1,1,Open Circuit Potential,5.00054777999958,-0.274338036775589,-0.069338036775589,0,0,0,0,-0.0874254032969475
1,1,Open Circuit Potential,5.50059644999965,-0.27435964345932,-0.0693596434593201,0,0,0,0,-0.0874331817030907
1,1,Open Circuit Potential,6.00064779999957,-0.274387240409851,-0.0693872404098511,0,0,0,0,-0.0874275043606758
1,1,Open Circuit Potential,6.50069894999979,-0.274372160434723,-0.0693721604347229,0,0,0,0,-0.0874261781573296
1,1,Open Circuit Potential,7.00074752,-0.274355262517929,-0.0693552625179291,0,0,0,0,-0.0874250456690788
1,1,Open Circuit Potential,7.50079881999955,-0.274377346038818,-0.0693773460388184,0,0,0,0,-0.0874350145459175
1,1,Open Circuit Potential,8.00084742000035,-0.274405539035797,-0.0694055390357971,0,0,0,0,-0.08744066208601
1,1,Open Circuit Potential,8.50089856999966,-0.274434417486191,-0.0694344174861908,0,0,0,0,-0.0874696746468544
1,1,Open Circuit Potential,9.00094707999961,-0.274466514587402,-0.0694665145874024,0,0,0,0,-0.0874672159552574
1,1,Open Circuit Potential,9.50099864000003,-0.274476170539856,-0.069476170539856,0,0,0,0,-0.0874433740973473
1,1,Open Circuit Potential,10.0010472399999,-0.274495989084244,-0.0694959890842438,0,0,0,0,-0.087473101913929
1,1,Open Circuit Potential,10.5010983499997,-0.274504810571671,-0.0695048105716705,0,0,0,0,-0.0874400809407234
1,1,Open Circuit Potential,11.0011469800002,-0.274493753910065,-0.0694937539100647,0,0,0,0,-0.0874195769429207
1,1,Open Circuit Potential,11.5012005600001,-0.274493962526321,-0.0694939625263214,0,0,0,0,-0.0874230042099953
1,1,Open Circuit Potential,12.0012467400002,-0.274518758058548,-0.069518758058548,0,0,0,0,-0.0874193534255028
1,1,Open Circuit Potential,12.5012986800002,-0.274522244930267,-0.0695222449302673,0,0,0,0,-0.0873784199357033
1,1,Open Circuit Potential,13.0013466299997,-0.274532556533813,-0.0695325565338135,0,0,0,0,-0.0873563960194588
1,1,Open Circuit Potential,13.5013978899997,-0.274543523788452,-0.0695435237884522,0,0,0,0,-0.0873426422476768
1,1,Open Circuit Potential,14.0014465499999,-0.274536609649658,-0.0695366096496582,0,0,0,0,-0.0873451605439186
1,1,Open Circuit Potential,14.50149762,-0.274541974067688,-0.069541974067688,0,0,0,0,-0.0873530581593513
1,1,Open Circuit Potential,15.0015487700002,-0.274552345275879,-0.0695523452758789,0,0,0,0,-0.0873578116297722
1,1,Open Circuit Potential,15.50159755,-0.274579584598541,-0.0695795845985413,0,0,0,0,-0.0873601362109184
1,1,Open Circuit Potential,16.0016486100003,-0.274594128131866,-0.0695941281318665,0,0,0,0,-0.087349034845829
1,1,Open Circuit Potential,16.5016974299997,-0.274590164422989,-0.0695901644229889,0,0,0,0,-0.0873482152819633
1,1,Open Circuit Potential,17.0017484700002,-0.274593889713287,-0.0695938897132874,0,0,0,0,-0.0873341038823128
1,1,Open Circuit Potential,17.5017971899997,-0.274600803852081,-0.0696008038520813,0,0,0,0,-0.0873492285609245
1,1,Open Circuit Potential,18.0018483900003,-0.274603009223938,-0.069603009223938,0,0,0,0,-0.0873455926775932
1,1,Open Circuit Potential,18.5018971299996,-0.274618238210678,-0.0696182382106781,0,0,0,0,-0.0873659625649452
1,1,Open Circuit Potential,19.0019480199999,-0.274627864360809,-0.0696278643608093,0,0,0,0,-0.0873486176133156
1,1,Open Circuit Potential,19.5019969599998,-0.274646401405334,-0.0696464014053345,0,0,0,0,-0.0873430445790291
1,1,Open Circuit Potential,20.0020480499998,-0.274644315242767,-0.0696443152427673,0,0,0,0,-0.0873147770762444
1,1,Open Circuit Potential,20.5020968600002,-0.274672150611877,-0.0696721506118775,0,0,0,0,-0.0873070135712624
1,1,Open Circuit Potential,21.0021476499996,-0.27469989657402,-0.0696998965740204,0,0,0,0,-0.0872784778475761
1,1,Open Circuit Potential,21.5021965200003,-0.274724543094635,-0.069724543094635,0,0,0,0,-0.087293453514576
1,1,Open Circuit Potential,22.0022477399998,-0.274735063314438,-0.0697350633144379,0,0,0,0,-0.087275929749012
1,1,Open Circuit Potential,22.5022990699999,-0.27475494146347,-0.0697549414634705,0,0,0,0,-0.0872937366366386
1,1,Open Circuit Potential,23.0023475999997,-0.274775505065918,-0.069775505065918,0,0,0,0,-0.0872743651270866
1,1,Open Circuit Potential,23.5023986699998,-0.274781942367554,-0.0697819423675537,0,0,0,0,-0.0872619077563286
1,1,Open Circuit Potential,24.0024472599998,-0.274769932031631,-0.0697699320316315,0,0,0,0,-0.0872670486569405
1,1,Open Circuit Potential,24.5024985999999,-0.274781197309494,-0.069781197309494,0,0,0,0,-0.0872243866324425
1,1,Open Circuit Potential,25.0025472500001,-0.274798095226288,-0.0697980952262879,0,0,0,0,-0.087246336042881
1,1,Open Circuit Potential,25.5025984800004,-0.274793446063995,-0.0697934460639954,0,0,0,0,-0.0872591510415077
1,1,Open Circuit Potential,26.0026470399998,-0.274810791015625,-0.069810791015625,0,0,0,0,-0.0872580036520958
