Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,0.500098839999737,-0.245929151773453,-0.0409291517734528,0,0,0,0,-0.0982267707586288
1,1,Open Circuit Potential,1.00014748000012,-0.245978459715843,-0.0409784597158432,0,0,0,0,-0.0982192903757095
1,1,Open Circuit Potential,1.50019857999996,-0.246051177382469,-0.0410511773824692,0,0,0,0,-0.0982310622930527
1,1,Open Circuit Potential,2.00024728999961,-0.246132344007492,-0.0411323440074921,0,0,0,0,-0.0982334166765213
1,1,Open Circuit Potential,2.50029846999951,-0.246237561106682,-0.0412375611066818,0,0,0,0,-0.0981912612915039
1,1,Open Circuit Potential,3.00034975000017,-0.246280953288078,-0.0412809532880783,0,0,0,0,-0.0981780737638474
1,1,Open Circuit Potential,3.5003982799999,-0.246349141001701,-0.0413491410017014,0,0,0,0,-0.0981775522232056
1,1,Open Circuit Potential,4.00044918000003,-0.246403530240059,-0.0414035302400589,0,0,0,0,-0.0981625765562057
1,1,Open Circuit Potential,4.50049820000004,-0.24646407365799,-0.0414640736579895,0,0,0,0,-0.0981635302305222
1,1,Open Circuit Potential,5.00054918000023,-0.246548429131508,-0.0415484291315079,0,0,0,0,-0.0981864482164383
1,1,Open Circuit Potential,5.50059809999948,-0.246629521250725,-0.0416295212507248,0,0,0,0,-0.0981551557779312
1,1,Open Circuit Potential,6.00064907999968,-0.246664986014366,-0.0416649860143662,0,0,0,0,-0.0981744527816772
1,1,Open Circuit Potential,6.50069781000002,-0.246743708848953,-0.0417437088489533,0,0,0,0,-0.0981925278902054
1,1,Open Circuit Potential,7.00074913000026,-0.246807232499123,-0.0418072324991226,0,0,0,0,-0.0981993675231934
1,1,Open Circuit Potential,7.50079734999963,-0.24690143764019,-0.0419014376401901,0,0,0,0,-0.0982021242380142
1,1,Open Circuit Potential,8.00084900000002,-0.24698668718338,-0.0419866871833801,0,0,0,0,-0.0981868505477905
1,1,Open Circuit Potential,8.50089800000023,-0.247029438614845,-0.0420294386148453,0,0,0,0,-0.098184734582901
1,1,Open Circuit Potential,9.00094858000011,-0.247093319892883,-0.0420933198928833,0,0,0,0,-0.0981923341751099
1,1,Open Circuit Potential,9.50099735000003,-0.247160375118256,-0.0421603751182556,0,0,0,0,-0.0981866717338562
1,1,Open Circuit Potential,10.00104861,-0.24725179374218,-0.0422517937421799,0,0,0,0,-0.0981984883546829
1,1,Open Circuit Potential,10.5010971700003,-0.247330382466316,-0.0423303824663162,0,0,0,0,-0.0981654226779938
1,1,Open Circuit Potential,11.0011482,-0.247396469116211,-0.0423964691162109,0,0,0,0,-0.0981657654047012
1,1,Open Circuit Potential,11.5011995300001,-0.247449398040771,-0.0424493980407715,0,0,0,0,-0.0981581062078476
1,1,Open Circuit Potential,12.0012482000002,-0.247504889965057,-0.0425048899650574,0,0,0,0,-0.0981395393610001
1,1,Open Circuit Potential,12.5012992299999,-0.24757906794548,-0.0425790679454804,0,0,0,0,-0.0981134027242661
1,1,Open Circuit Potential,13.0013480600001,-0.247643262147903,-0.0426432621479035,0,0,0,0,-0.0981357097625732
1,1,Open Circuit Potential,13.5013993499997,-0.247711881995201,-0.0427118819952011,0,0,0,0,-0.0981086194515228
1,1,Open Circuit Potential,14.00144765,-0.247784823179245,-0.042784823179245,0,0,0,0,-0.0981285572052002
1,1,Open Circuit Potential,14.5014992199995,-0.247840613126755,-0.0428406131267548,0,0,0,0,-0.0981236398220062
1,1,Open Circuit Potential,15.0015478899995,-0.247915551066399,-0.0429155510663986,0,0,0,0,-0.0980968922376633
1,1,Open Circuit Potential,15.5015987699999,-0.247986108064651,-0.0429861080646515,0,0,0,0,-0.0980139523744583
1,1,Open Circuit Potential,16.0016477199997,-0.248048648238182,-0.0430486482381821,0,0,0,0,-0.0980189144611359
1,1,Open Circuit Potential,16.5016987700001,-0.248111635446548,-0.0431116354465485,0,0,0,0,-0.0980620831251144
1,1,Open Circuit Potential,17.0017476399998,-0.24817618727684,-0.0431761872768402,0,0,0,0,-0.098062589764595
1,1,Open Circuit Potential,17.5017987399997,-0.248220637440681,-0.0432206374406815,0,0,0,0,-0.0980217307806015
1,1,Open Circuit Potential,18.0018472499996,-0.248298615217209,-0.0432986152172089,0,0,0,0,-0.0980049520730972
1,1,Open Circuit Potential,18.5018981499998,-0.248403817415237,-0.0434038174152374,0,0,0,0,-0.0979955643415451
1,1,Open Circuit Potential,19.0019493399996,-0.248479872941971,-0.0434798729419708,0,0,0,0,-0.0980081260204315
1,1,Open Circuit Potential,19.5019984499995,-0.248522311449051,-0.0435223114490509,0,0,0,0,-0.0980244278907776
1,1,Open Circuit Potential,20.0020494299997,-0.248569071292877,-0.0435690712928772,0,0,0,0,-0.0980180948972702
1,1,Open Circuit Potential,20.5020982199994,-0.248633682727814,-0.0436336827278137,0,0,0,0,-0.0979752540588379
1,1,Open Circuit Potential,21.0021493100003,-0.248718470335007,-0.0437184703350067,0,0,0,0,-0.0979550778865814
1,1,Open Circuit Potential,21.5021979900002,-0.248782157897949,-0.0437821578979492,0,0,0,0,-0.0979584902524948
1,1,Open Circuit Potential,22.0022489900002,-0.248847305774689,-0.0438473057746887,0,0,0,0,-0.0979849100112915
1,1,Open Circuit Potential,22.5022976600003,-0.248904347419739,-0.0439043474197388,0,0,0,0,-0.0979618281126022
1,1,Open Circuit Potential,23.0023490799995,-0.248946398496628,-0.0439463984966278,0,0,0,0,-0.0979128181934357
1,1,Open Circuit Potential,23.5023977199999,-0.248985290527344,-0.0439852905273438,0,0,0,0,-0.0978946387767792
1,1,Open Circuit Potential,24.0024489199996,-0.249062657356262,-0.0440626573562622,0,0,0,0,-0.0979180783033371
1,1,Open Circuit Potential,24.5024975099996,-0.249165207147598,-0.0441652071475983,0,0,0,0,-0.0979143381118774
1,1,Open Circuit Potential,25.0025486899995,-0.24923101067543,-0.0442310106754303,0,0,0,0,-0.0979105532169342
1,1,Open Circuit Potential,25.5025973299998,-0.249284356832504,-0.0442843568325043,0,0,0,0,-0.097853422164917
1,1,Open Circuit Potential,26.0026484800001,-0.249334514141083,-0.0443345141410828,0,0,0,0,-0.097833439707756
1,1,Open Circuit Potential,26.5026972300002,-0.249388843774796,-0.0443888437747955,0,0,0,0,-0.0978220403194427
1,1,Open Circuit Potential,27.0027482699998,-0.249457687139511,-0.0444576871395111,0,0,0,0,-0.0978206992149353
1,1,Open Circuit Potential,27.5028004699998,-0.249544262886047,-0.0445442628860474,0,0,0,0,-0.0977853238582611
1,1,Open Circuit Potential,28.0028480399997,-0.249607115983963,-0.044607115983963,0,0,0,0,-0.0977692306041718
1,1,Open Circuit Potential,28.5028993999995,-0.249665796756744,-0.0446657967567444,0,0,0,0,-0.097801461815834
1,1,Open Circuit Potential,29.0029481199999,-0.24972277879715,-0.0447227787971497,0,0,0,0,-0.0977990031242371
1,1,Open Circuit Potential,29.5029993500002,-0.249801367521286,-0.044801367521286,0,0,0,0,-0.0977599620819092
1,1,Open Circuit Potential,30.0030477700002,-0.249869346618652,-0.0448693466186524,0,0,0,0,-0.0977512449026108
1,1,Open Circuit Potential,30.5030990300002,-0.249942094087601,-0.0449420940876007,0,0,0,0,-0.0977584272623062
1,1,Open Circuit Potential,31.0031479899999,-0.249992787837982,-0.0449927878379822,0,0,0,0,-0.0977489054203033
1,1,Open Circuit Potential,31.5031990299995,-0.250057280063629,-0.0450572800636292,0,0,0,0,-0.0977212190628052
1,1,Open Circuit Potential,32.0032474,-0.250094801187515,-0.0450948011875153,0,0,0,0,-0.0977167040109634
1,1,Open Circuit Potential,32.5032987100003,-0.250166326761246,-0.0451663267612457,0,0,0,0,-0.097680002450943
1,1,Open Circuit Potential,33.0033474800002,-0.25025150179863,-0.0452515017986298,0,0,0,0,-0.0976784527301788
1,1,Open Circuit Potential,33.5033987400002,-0.25031116604805,-0.0453111660480499,0,0,0,0,-0.0976784080266953
1,1,Open Circuit Potential,34.0034470499995,-0.250375926494598,-0.0453759264945984,0,0,0,0,-0.0976795256137848
1,1,Open Circuit Potential,34.5034984699996,-0.250422090291977,-0.0454220902919769,0,0,0,0,-0.0976790934801102
1,1,Open Circuit Potential,35.0035495399998,-0.250484853982925,-0.0454848539829254,0,0,0,0,-0.0976674258708954
1,1,Open Circuit Potential,35.5035985200002,-0.250562429428101,-0.0455624294281006,0,0,0,0,-0.0976008772850037
1,1,Open Circuit Potential,36.0036495100003,-0.250646680593491,-0.0456466805934906,0,0,0,0,-0.0976098775863647
