Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,1.50018710000001,-0.498215347528458,-0.293215347528458,0,0,0,0,-0.135977804660797
1,1,Open Circuit Potential,3.00033525000003,-0.498277574777603,-0.293277574777603,0,0,0,0,-0.135831534862518
1,1,Open Circuit Potential,4.50048624000004,-0.498384535312653,-0.293384535312653,0,0,0,0,-0.135734736919403
1,1,Open Circuit Potential,6.00063719000002,-0.498468697071075,-0.293468697071075,0,0,0,0,-0.135684907436371
1,1,Open Circuit Potential,7.50078568000004,-0.498547077178955,-0.293547077178955,0,0,0,0,-0.135606974363327
1,1,Open Circuit Potential,9.00093700000002,-0.498623490333557,-0.293623490333557,0,0,0,0,-0.135538190603256
1,1,Open Circuit Potential,10.50108567,-0.498709917068481,-0.293709917068481,0,0,0,0,-0.135396152734756
1,1,Open Circuit Potential,12.00123664,-0.498812079429626,-0.293812079429627,0,0,0,0,-0.135357558727264
1,1,Open Circuit Potential,13.50138759,-0.498876214027405,-0.293876214027405,0,0,0,0,-0.135325223207474
1,1,Open Circuit Potential,15.00153585,-0.498938262462616,-0.293938262462616,0,0,0,0,-0.135256171226501
1,1,Open Circuit Potential,16.5016868,-0.498983979225159,-0.293983979225159,0,0,0,0,-0.135242223739624
1,1,Open Circuit Potential,18.00183562,-0.499068439006805,-0.294068439006805,0,0,0,0,-0.135137796401978
1,1,Open Circuit Potential,19.50198663,-0.499173700809479,-0.294173700809479,0,0,0,0,-0.135042130947113
1,1,Open Circuit Potential,21.00213764,-0.499241530895233,-0.294241530895233,0,0,0,0,-0.135045826435089
1,1,Open Circuit Potential,22.50228603,-0.499291956424713,-0.294291956424713,0,0,0,0,-0.134998261928558
1,1,Open Circuit Potential,24.00243704,-0.499335885047913,-0.294335885047913,0,0,0,0,-0.134925365447998
1,1,Open Circuit Potential,25.50258586,-0.499408304691315,-0.294408304691315,0,0,0,0,-0.134871929883957
1,1,Open Circuit Potential,27.00273678,-0.49947851896286,-0.29447851896286,0,0,0,0,-0.134769052267075
1,1,Open Circuit Potential,28.50288516,-0.499541878700256,-0.294541878700256,0,0,0,0,-0.134730637073517
1,1,Open Circuit Potential,30.00303624,-0.49960070848465,-0.29460070848465,0,0,0,0,-0.134702950716019
1,1,Open Circuit Potential,31.50318715,-0.499643325805664,-0.294643325805664,0,0,0,0,-0.134604036808014
1,1,Open Circuit Potential,33.00333587,-0.499708235263824,-0.294708235263825,0,0,0,0,-0.134507089853287
1,1,Open Circuit Potential,34.50348683,-0.49977058172226,-0.29477058172226,0,0,0,0,-0.134471327066422
