Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,1.50013870999999,-0.488233357667923,-0.283233357667923,0,0,0,0,-0.117849372327328
1,1,Open Circuit Potential,3.00028980000002,-0.488249152898788,-0.283249152898788,0,0,0,0,-0.11780907958746
1,1,Open Circuit Potential,4.50044094999998,-0.488297462463379,-0.283297462463379,0,0,0,0,-0.11779846996069
1,1,Open Circuit Potential,6.00059148999998,-0.488353163003922,-0.283353163003922,0,0,0,0,-0.117761395871639
1,1,Open Circuit Potential,7.50074043000001,-0.488393634557724,-0.283393634557724,0,0,0,0,-0.117732457816601
1,1,Open Circuit Potential,9.00088863999997,-0.488445997238159,-0.283445997238159,0,0,0,0,-0.117705337703228
1,1,Open Circuit Potential,10.5010397,-0.488504260778427,-0.283504260778427,0,0,0,0,-0.117719851434231
1,1,Open Circuit Potential,12.0011909,-0.488563895225525,-0.283563895225525,0,0,0,0,-0.117675922811031
1,1,Open Circuit Potential,13.50133943,-0.488597631454468,-0.283597631454468,0,0,0,0,-0.117611758410931
1,1,Open Circuit Potential,15.00149042,-0.488657236099243,-0.283657236099243,0,0,0,0,-0.117573343217373
1,1,Open Circuit Potential,16.50163881,-0.488725960254669,-0.283725960254669,0,0,0,0,-0.117544554173946
1,1,Open Circuit Potential,18.00179001,-0.488797068595886,-0.283797068595886,0,0,0,0,-0.117531470954418
1,1,Open Circuit Potential,19.501941,-0.488872677087784,-0.283872677087784,0,0,0,0,-0.117492608726025
1,1,Open Circuit Potential,21.00208925,-0.488929241895676,-0.283929241895676,0,0,0,0,-0.117465101182461
1,1,Open Circuit Potential,22.50224063,-0.488898634910583,-0.283898634910584,0,0,0,0,-0.117400787770748
1,1,Open Circuit Potential,24.00238904,-0.488924294710159,-0.283924294710159,0,0,0,0,-0.117369495332241
1,1,Open Circuit Potential,25.50254008,-0.488947808742523,-0.283947808742523,0,0,0,0,-0.117343179881573
1,1,Open Circuit Potential,27.00269094,-0.488962233066559,-0.283962233066559,0,0,0,0,-0.11727150529623
1,1,Open Circuit Potential,28.5028396,-0.489000022411346,-0.284000022411346,0,0,0,0,-0.117215059697628
1,1,Open Circuit Potential,30.00299077,-0.489047527313232,-0.284047527313232,0,0,0,0,-0.117192260921001
1,1,Open Circuit Potential,31.50313917,-0.489075720310211,-0.284075720310211,0,0,0,0,-0.117190144956112
1,1,Open Circuit Potential,33.00329013,-0.489163219928741,-0.284163219928741,0,0,0,0,-0.117130510509014
1,1,Open Circuit Potential,34.50343885,-0.48925319314003,-0.28425319314003,0,0,0,0,-0.117053173482418
1,1,Open Circuit Potential,36.00358975,-0.489300131797791,-0.284300131797791,0,0,0,0,-0.1170519515872
1,1,Open Circuit Potential,37.50374087,-0.489343196153641,-0.284343196153641,0,0,0,0,-0.116970412433147
1,1,Open Circuit Potential,39.00388905,-0.489375680685043,-0.284375680685043,0,0,0,0,-0.116876922547817
1,1,Open Circuit Potential,40.50404024,-0.489459753036499,-0.284459753036499,0,0,0,0,-0.116834305226803
