Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,1.50019792000001,-0.147597134113312,0.0574028658866882,0,0,0,0,0.10844662040472
1,1,Open Circuit Potential,3.00034937999999,-0.147791892290115,0.0572081077098846,0,0,0,0,0.107846610248089
1,1,Open Circuit Potential,4.50050031999996,-0.14807990193367,0.0569200980663299,0,0,0,0,0.107256390154362
1,1,Open Circuit Potential,6.00064871000001,-0.148338988423347,0.0566610115766525,0,0,0,0,0.106678672134876
1,1,Open Circuit Potential,7.50079994999999,-0.148517072200775,0.0564829277992248,0,0,0,0,0.106045581400394
1,1,Open Circuit Potential,9.00094831000001,-0.148768588900566,0.0562314110994339,0,0,0,0,0.105412729084492
1,1,Open Circuit Potential,10.5010993,-0.148973375558853,0.0560266244411468,0,0,0,0,0.104718513786793
1,1,Open Circuit Potential,12.00125034,-0.14920774102211,0.05579225897789,0,0,0,0,0.104060105979443
1,1,Open Circuit Potential,13.50139896,-0.14945125579834,0.0555487442016601,0,0,0,0,0.103449083864689
1,1,Open Circuit Potential,15.00154989,-0.14961439371109,0.0553856062889099,0,0,0,0,0.10281815379858
1,1,Open Circuit Potential,16.50169836,-0.149884268641472,0.0551157313585281,0,0,0,0,0.102182544767857
1,1,Open Circuit Potential,18.00184938,-0.150094300508499,0.0549056994915008,0,0,0,0,0.101560182869434
1,1,Open Circuit Potential,19.50200046,-0.150332018733025,0.0546679812669754,0,0,0,0,0.100884966552258
1,1,Open Circuit Potential,21.00214911,-0.150576874613762,0.0544231253862381,0,0,0,0,0.100260280072689
1,1,Open Circuit Potential,22.50230008,-0.150801733136177,0.0541982668638229,0,0,0,0,0.0995793417096138
1,1,Open Circuit Potential,24.00244826,-0.151047572493553,0.0539524275064468,0,0,0,0,0.0989175066351891
1,1,Open Circuit Potential,25.5025995,-0.151285439729691,0.0537145602703094,0,0,0,0,0.0982935652136803
1,1,Open Circuit Potential,27.00275068,-0.151482313871384,0.0535176861286163,0,0,0,0,0.0976501479744911
1,1,Open Circuit Potential,28.50289899,-0.151729330420494,0.0532706695795059,0,0,0,0,0.0970369502902031
1,1,Open Circuit Potential,30.00305009,-0.15195731818676,0.05304268181324,0,0,0,0,0.0964161530137062
1,1,Open Circuit Potential,31.50319831,-0.152171045541763,0.0528289544582367,0,0,0,0,0.0958043113350868
1,1,Open Circuit Potential,33.0033496,-0.152444630861282,0.0525553691387176,0,0,0,0,0.0952474698424339
1,1,Open Circuit Potential,34.5035009,-0.152610450983047,0.0523895490169525,0,0,0,0,0.0946288630366325
