Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,1.50020484999982,-0.32833257317543,-0.12333257317543,0,0,0,0,0.715282320976257
1,1,Open Circuit Potential,3.00035597999999,-0.328340113162994,-0.123340113162994,0,0,0,0,0.715271294116974
1,1,Open Circuit Potential,4.50050446,-0.328315496444702,-0.123315496444702,0,0,0,0,0.71523779630661
1,1,Open Circuit Potential,6.00065550999989,-0.328297913074493,-0.123297913074493,0,0,0,0,0.715234875679016
1,1,Open Circuit Potential,7.50080646999982,-0.328287333250046,-0.123287333250046,0,0,0,0,0.715189933776855
1,1,Open Circuit Potential,9.00095507999981,-0.328271180391312,-0.123271180391312,0,0,0,0,0.71517550945282
1,1,Open Circuit Potential,10.5011061299999,-0.328261375427246,-0.123261375427246,0,0,0,0,0.715120255947113
1,1,Open Circuit Potential,12.0012544799999,-0.328251093626022,-0.123251093626022,0,0,0,0,0.715088486671448
1,1,Open Circuit Potential,13.50140513,-0.328228980302811,-0.123228980302811,0,0,0,0,0.715061902999878
1,1,Open Circuit Potential,15.0015564299999,-0.328199118375778,-0.123199118375778,0,0,0,0,0.715036928653717
1,1,Open Circuit Potential,16.5017049199998,-0.328183382749557,-0.123183382749558,0,0,0,0,0.715010464191437
1,1,Open Circuit Potential,18.0018561699999,-0.328154772520065,-0.123154772520065,0,0,0,0,0.714960813522339
1,1,Open Circuit Potential,19.50200417,-0.328131526708603,-0.123131526708603,0,0,0,0,0.714917182922363
1,1,Open Circuit Potential,21.00215579,-0.328102976083755,-0.123102976083756,0,0,0,0,0.714890956878662
1,1,Open Circuit Potential,22.5023065399998,-0.328091502189636,-0.123091502189636,0,0,0,0,0.714864432811737
1,1,Open Circuit Potential,24.00245531,-0.32807183265686,-0.12307183265686,0,0,0,0,0.71479344367981
1,1,Open Circuit Potential,25.5026063099999,-0.328062146902084,-0.123062146902084,0,0,0,0,0.714821815490723
1,1,Open Circuit Potential,27.0027545399998,-0.328033924102783,-0.123033924102783,0,0,0,0,0.714769542217255
1,1,Open Circuit Potential,28.5029056799999,-0.328020334243774,-0.123020334243774,0,0,0,0,0.714727520942688
1,1,Open Circuit Potential,30.00305678,-0.328008860349655,-0.123008860349655,0,0,0,0,0.714743137359619
1,1,Open Circuit Potential,31.50320526,-0.327994227409363,-0.122994227409363,0,0,0,0,0.71469509601593
1,1,Open Circuit Potential,33.0033564199998,-0.327989965677261,-0.122989965677261,0,0,0,0,0.714642524719238
1,1,Open Circuit Potential,34.5035047099998,-0.327948659658432,-0.122948659658432,0,0,0,0,0.714622139930725
1,1,Open Circuit Potential,36.0036557599999,-0.327934354543686,-0.122934354543686,0,0,0,0,0.714579522609711
1,1,Open Circuit Potential,37.50380692,-0.327911853790283,-0.122911853790283,0,0,0,0,0.714563846588135
1,1,Open Circuit Potential,39.00395736,-0.3279128074646,-0.1229128074646,0,0,0,0,0.714526116847992
1,1,Open Circuit Potential,40.5041062999999,-0.327895164489746,-0.122895164489746,0,0,0,0,0.714496254920959
1,1,Open Circuit Potential,42.00425488,-0.327881783246994,-0.122881783246994,0,0,0,0,0.714470326900482
1,1,Open Circuit Potential,43.5044057299999,-0.327858299016953,-0.122858299016953,0,0,0,0,0.714467644691467
1,1,Open Circuit Potential,45.0045569099998,-0.32785177230835,-0.12285177230835,0,0,0,0,0.714401364326477
1,1,Open Circuit Potential,46.50470505,-0.32783105969429,-0.12283105969429,0,0,0,0,0.714355051517487
1,1,Open Circuit Potential,48.00485624,-0.327795475721359,-0.122795475721359,0,0,0,0,0.714301824569702
1,1,Open Circuit Potential,49.5050047099999,-0.327794283628464,-0.122794283628464,0,0,0,0,0.714267253875732
1,1,Open Circuit Potential,51.0051558799998,-0.327760696411133,-0.122760696411133,0,0,0,0,0.714246153831482
1,1,Open Circuit Potential,52.5053041499998,-0.327742785215378,-0.122742785215378,0,0,0,0,0.714200735092163
1,1,Open Circuit Potential,54.0054553699999,-0.327719390392303,-0.122719390392303,0,0,0,0,0.714128732681274
1,1,Open Circuit Potential,55.50560647,-0.327726662158966,-0.122726662158966,0,0,0,0,0.714047074317932
1,1,Open Circuit Potential,57.0057549999999,-0.327684044837952,-0.122684044837952,0,0,0,0,0.714044630527496
1,1,Open Circuit Potential,58.5059061699999,-0.327684044837952,-0.122684044837952,0,0,0,0,0.714048624038696
1,1,Open Circuit Potential,60.00605458,-0.32765606045723,-0.12265606045723,0,0,0,0,0.714044690132141
1,1,Open Circuit Potential,61.5062051999998,-0.327618926763535,-0.122618926763535,0,0,0,0,0.714029014110565
1,1,Open Circuit Potential,63.0063563599999,-0.327606618404388,-0.122606618404388,0,0,0,0,0.713963031768799
1,1,Open Circuit Potential,64.5065050599999,-0.327597588300705,-0.122597588300705,0,0,0,0,0.713918805122375
1,1,Open Circuit Potential,66.00665611,-0.327595591545105,-0.122595591545105,0,0,0,0,0.713876903057098
1,1,Open Circuit Potential,67.5068045599999,-0.327576011419296,-0.122576011419296,0,0,0,0,0.713849902153015
1,1,Open Circuit Potential,69.0069581999999,-0.327557742595673,-0.122557742595673,0,0,0,0,0.713831901550293
1,1,Open Circuit Potential,70.5071067199999,-0.327559739351273,-0.122559739351273,0,0,0,0,0.713822364807129
1,1,Open Circuit Potential,72.00725502,-0.327556818723679,-0.122556818723679,0,0,0,0,0.713772714138031
1,1,Open Circuit Potential,73.5074058999999,-0.327531784772873,-0.122531784772873,0,0,0,0,0.713752269744873
1,1,Open Circuit Potential,75.0075545699999,-0.327524960041046,-0.122524960041046,0,0,0,0,0.713742017745972
1,1,Open Circuit Potential,76.5077056099999,-0.327526301145554,-0.122526301145554,0,0,0,0,0.713707804679871
1,1,Open Circuit Potential,78.0078568099998,-0.327516794204712,-0.122516794204712,0,0,0,0,0.713692009449005
1,1,Open Circuit Potential,79.5080051,-0.327515155076981,-0.122515155076981,0,0,0,0,0.713608920574188
1,1,Open Circuit Potential,81.0081562399998,-0.327475279569626,-0.122475279569626,0,0,0,0,0.713593363761902
1,1,Open Circuit Potential,82.5083045899999,-0.327481299638748,-0.122481299638748,0,0,0,0,0.713578224182129
1,1,Open Circuit Potential,84.0084557599998,-0.327456325292587,-0.122456325292587,0,0,0,0,0.713499486446381
1,1,Open Circuit Potential,85.50860685,-0.327435910701752,-0.122435910701752,0,0,0,0,0.713482558727264
1,1,Open Circuit Potential,87.0087551399999,-0.3274005651474,-0.1224005651474,0,0,0,0,0.713430404663086
1,1,Open Circuit Potential,88.5089061799999,-0.327383786439896,-0.122383786439896,0,0,0,0,0.713379502296448
1,1,Open Circuit Potential,90.0090547599998,-0.327361911535263,-0.122361911535263,0,0,0,0,0.713328838348389
1,1,Open Circuit Potential,91.5092058099999,-0.327351450920105,-0.122351450920105,0,0,0,0,0.713281273841858
1,1,Open Circuit Potential,93.00935663,-0.327337950468063,-0.122337950468063,0,0,0,0,0.713239729404449
1,1,Open Circuit Potential,94.5095053499999,-0.327296316623688,-0.122296316623688,0,0,0,0,0.713215291500092
1,1,Open Circuit Potential,96.0096562399999,-0.32726463675499,-0.12226463675499,0,0,0,0,0.713242530822754
1,1,Open Circuit Potential,97.5098050299998,-0.32726988196373,-0.12226988196373,0,0,0,0,0.71321839094162
1,1,Open Circuit Potential,99.0099557199999,-0.327258348464966,-0.122258348464966,0,0,0,0,0.713218748569489
1,1,Open Circuit Potential,100.51010435,-0.32725390791893,-0.12225390791893,0,0,0,0,0.713155746459961
1,1,Open Circuit Potential,102.01025539,-0.327226370573044,-0.122226370573044,0,0,0,0,0.713088870048523
1,1,Open Circuit Potential,103.51040641,-0.327217519283295,-0.122217519283295,0,0,0,0,0.713022172451019
1,1,Open Circuit Potential,105.01055497,-0.327215880155563,-0.122215880155563,0,0,0,0,0.713045418262482
1,1,Open Circuit Potential,106.51070572,-0.327202647924423,-0.122202647924423,0,0,0,0,0.713019013404846
1,1,Open Circuit Potential,108.01085449,-0.327189207077026,-0.122189207077026,0,0,0,0,0.713021278381348
1,1,Open Circuit Potential,109.51100545,-0.327188074588776,-0.122188074588776,0,0,0,0,0.713006496429443
1,1,Open Circuit Potential,111.0111567,-0.327181607484818,-0.122181607484818,0,0,0,0,0.71295177936554
1,1,Open Circuit Potential,112.51130497,-0.327164858579636,-0.122164858579636,0,0,0,0,0.712889134883881
1,1,Open Circuit Potential,114.01145607,-0.32715967297554,-0.12215967297554,0,0,0,0,0.712842762470245
1,1,Open Circuit Potential,115.51160427,-0.327151030302048,-0.122151030302048,0,0,0,0,0.712815761566162
1,1,Open Circuit Potential,117.01175562,-0.327134996652603,-0.122134996652603,0,0,0,0,0.712772846221924
1,1,Open Circuit Potential,118.51190652,-0.327107906341553,-0.122107906341553,0,0,0,0,0.712737202644348
1,1,Open Circuit Potential,120.01205511,-0.327101320028305,-0.122101320028305,0,0,0,0,0.712708830833435
1,1,Open Circuit Potential,121.51220608,-0.327077865600586,-0.122077865600586,0,0,0,0,0.712686598300934
1,1,Open Circuit Potential,123.01235469,-0.327055394649506,-0.122055394649506,0,0,0,0,0.712614297866821
1,1,Open Circuit Potential,124.51250545,-0.327023088932037,-0.122023088932037,0,0,0,0,0.712584495544434
1,1,Open Circuit Potential,126.01265692,-0.327014595270157,-0.122014595270157,0,0,0,0,0.7125563621521
1,1,Open Circuit Potential,127.51280519,-0.326993823051453,-0.121993823051453,0,0,0,0,0.712520062923431
1,1,Open Circuit Potential,129.01295611,-0.32698318362236,-0.12198318362236,0,0,0,0,0.712500751018524
1,1,Open Circuit Potential,130.51310434,-0.326962381601334,-0.121962381601334,0,0,0,0,0.712476491928101
1,1,Open Circuit Potential,132.01325592,-0.326965183019638,-0.121965183019638,0,0,0,0,0.712447106838226
