Working Electrode (V),Current (mA)
-0.679783463,-3.108344274
-0.679085672,-2.503913129
-0.678121328,-2.461806638
-0.677182198,-2.434072318
-0.676265657,-2.402475337
-0.675284505,-2.364483196
-0.674334705,-2.325061243
-0.673324704,-2.286364092
-0.672329903,-2.247245517
-0.67133522,-2.209843369
-0.670334756,-2.176558133
-0.66933918,-2.135814866
-0.668364942,-2.091372153
-0.667364597,-2.069217619
-0.666330814,-2.031882759
-0.665368915,-2.001156565
-0.664369345,-1.96374068
-0.663357735,-1.939409995
-0.662399888,-1.909211394
-0.661417842,-1.878350042
-0.660395086,-1.856673509
-0.659433067,-1.826482592
-0.658439577,-1.802430721
-0.657429934,-1.776704798
-0.656444252,-1.75120635
-0.655454218,-1.7264731
-0.654438376,-1.702156034
-0.653496087,-1.678878674
-0.652524769,-1.652065315
-0.65151155,-1.632349682
-0.650510132,-1.609568833
-0.649515569,-1.58786308
-0.648483396,-1.566363266
-0.64747566,-1.544565312
-0.64650321,-1.52352429
-0.645506203,-1.503196079
-0.644548833,-1.482618623
-0.643573403,-1.462479122
-0.642562687,-1.44293427
-0.641580999,-1.424067537
-0.640606105,-1.404586714
-0.639574885,-1.38310995
-0.638574123,-1.367354533
-0.637575567,-1.34850177
-0.636573792,-1.330608968
-0.635573328,-1.313452143
-0.634607434,-1.295452006
-0.633622289,-1.278794603
-0.632608116,-1.261545112
-0.6316787,-1.244741608
-0.630649865,-1.228886074
-0.629649341,-1.212970354
-0.628676772,-1.196654164
-0.627674282,-1.175316516
-0.626688838,-1.163023873
-0.625682294,-1.151156379
-0.624696016,-1.135766623
-0.623712182,-1.121646841
-0.622731149,-1.108166296
-0.62173444,-1.092578983
-0.620714664,-1.078372588
-0.619719505,-1.063855598
-0.618754566,-1.050988445
-0.617744684,-1.035443391
-0.616754532,-1.024251222
-0.615784109,-1.012076973
-0.614781022,-0.998676405
-0.613825619,-0.985413557
-0.612813413,-0.972843089
-0.611798465,-0.96008071
-0.610824704,-0.946784799
-0.609841824,-0.934453798
-0.608822584,-0.923715415
-0.607843697,-0.911013514
-0.606857598,-0.900253304
-0.605830073,-0.887103786
-0.604830265,-0.875261554
-0.603848994,-0.864539761
-0.602844596,-0.8551387
-0.601893604,-0.843496702
