Filename,Window_req (V),Window_cath_used (V),Window_anod_used (V),Method,Ecorr (V),βc (mV/dec),βa (mV/dec),αc,αa,Icorr (µA),Rate (mmpy),R² (BV on log),RMSE (BV on log),Rp_exp (ohm),Rp_pred (ohm),Rp_ratio (exp/pred)
1_LSV Tuball(2025-03-18 15_56_51) 20250318 155912.csv,0.15,0.15,0.15,LinC/LinA,-0.3822425177097562,116.62696962526124,107.77532417296968,0.5070624257631021,0.5487077360368204,26.546393168908242,0.8264447133978168,0.856500956873306,0.1695956715375493,496.28831203856555,916.2027204632241,0.5416795878838326
1_LSV Tuball(2025-03-18 15_56_51) 20250318 155912.csv,0.15,0.15,0.15,NlC/NlA,-0.3789840226278708,281.9927887588558,205.0676474093507,0.20971158300844114,0.2883787612267114,99.52453004585885,3.098406671914177,0.9887402561237825,0.045773368598237246,484.42983683096134,517.9981691788295,0.9351960405553493
1_LSV Tuball(2025-03-18 15_56_51) 20250318 155912.csv,0.2,0.2,0.2,LinC/LinA,-0.3832577636242648,135.64944112982894,126.36060442922836,0.43595575208441095,0.46800309633455367,31.23237409205869,0.9723290953693952,0.8775423229496778,0.17106038250609465,499.5071150082422,909.5211968666163,0.549197882060462
1_LSV Tuball(2025-03-18 15_56_51) 20250318 155912.csv,0.2,0.2,0.2,NlC/NlA,-0.37901003730081556,251.4692900954137,197.68136856909933,0.23516650524263416,0.2991539089173862,91.63448670338474,2.8527731288796168,0.9919971042557715,0.0422050884060991,484.42983683096134,524.4520224359253,0.9236876131794236
1_LSV Tuball(2025-03-18 15_56_51) 20250318 155912.csv,0.25,0.25,0.25,LinC/LinA,-0.38421060347603636,155.17815737051535,146.85853315151624,0.38109199857544485,0.40268108947112985,37.99146328542395,1.1827536715330416,0.9187007614975665,0.1505733349197487,502.38281719114815,862.3629997339631,0.5825653667262302
1_LSV Tuball(2025-03-18 15_56_51) 20250318 155912.csv,0.25,0.25,0.25,NlC/NlA,-0.3790508907554921,235.37047155279862,198.29686163682794,0.25125137294173655,0.2982253659459912,88.37420741888997,2.751273819285012,0.9927669501918271,0.04396650157498193,484.42983683096134,528.8002345707658,0.9160923259124109
1_Quick Tafel Protocol Naf-Gr_flex ch4 (2026-02-06 14_41_14) 20260206 144225.csv,0.15,0.15,0.15,LinC/LinA,-0.4630402010846974,99.61528129556042,129.17735992248072,0.5936554448119615,0.4577981324519465,7.570960412709679,0.23569982440237455,0.8439617039584013,0.18883321050376595,1827.7226224285098,3225.7106257994787,0.5666108446958154
1_Quick Tafel Protocol Naf-Gr_flex ch4 (2026-02-06 14_41_14) 20260206 144225.csv,0.15,0.15,0.15,NlC/NlA,-0.4630402157303236,159.96845046488886,262.404551179208,0.3696801085196764,0.22536634315918225,21.86870560152312,0.6808185209281031,0.9242432125548616,0.1315750525794683,1827.7226224285098,1973.2973613494469,0.9262276726395736
1_Quick Tafel Protocol Naf-Gr_flex ch4 (2026-02-06 14_41_14) 20260206 144225.csv,0.2,0.2,0.2,LinC/LinA,-0.4597426940338588,117.09786933804622,146.59990470816876,0.5050233147869102,0.40339149091063076,9.041976320374445,0.28149562470105727,0.8738150052771503,0.18869154110458597,1940.000324719555,3126.2155129206817,0.6205587288213219
1_Quick Tafel Protocol Naf-Gr_flex ch4 (2026-02-06 14_41_14) 20260206 144225.csv,0.2,0.2,0.2,NlC/NlA,-0.4597427059147077,156.02291619198462,218.15787612382525,0.37902864252849194,0.2710750360166628,19.318567182732238,0.6014273810006343,0.9210608860914451,0.1492432500822664,1940.000324719555,2044.6027803614643,0.9488397175986346
1_Quick Tafel Protocol Naf-Gr_flex ch4 (2026-02-06 14_41_14) 20260206 144225.csv,0.25,0.25,0.25,LinC/LinA,-0.46107307374344136,123.86062560463748,160.54169926878149,0.477449179986787,0.3683600858651448,9.909726036876856,0.30851048736781733,0.9252846956146081,0.16182576215386862,1893.236136936583,3063.6023665188086,0.6179771100933963
